name,ltp,open,high,low,close,quantity
ACLBSL,573.20,572.00,595.00,572.00,579.99,2209
ADBL,248.90,251.00,251.00,246.20,247.0,33313
ADBLD83,1005.00,1005.00,1005.00,1005.00,1010.05,50
AHL,379.00,384.20,395.00,379.00,384.19,9908
AHPC,224.10,235.00,235.60,224.00,230.6,57220
AKJCL,194.00,204.00,205.00,192.10,200.0,60705
AKPL,174.00,180.50,183.30,173.00,176.99,225434
ALBSL,694.90,698.80,711.00,686.70,697.83,5992
ALICL,653.00,675.20,702.00,651.00,662.0,66316
ANLB,1717.00,1692.20,1757.00,1692.20,1659.1,1250
API,177.00,178.00,180.50,175.60,177.0,139801
AVYAN,605.00,603.20,614.90,603.00,603.01,3458
BARUN,226.00,234.00,238.00,222.50,229.51,24801
BBC,3850.00,3942.30,3998.00,3843.00,3865.07,181
BEDC,285.00,293.00,304.90,284.20,288.0,45820
BFC,319.00,327.40,327.40,319.00,320.99,14855
BGWT,508.00,528.00,538.00,506.00,528.01,11187
BHDC,405.10,408.00,416.00,405.10,415.1,18965
BHL,291.00,310.00,310.00,289.10,310.0,15168
BHPL,444.80,445.50,475.40,444.10,452.08,3672
BNHC,370.00,382.10,390.80,369.00,385.02,7058
BNT,12948.00,12500.00,12948.00,12500.00,12579.42,160
BOKD86,844.50,850.00,850.00,844.50,846.53,50
BPCL,301.90,309.50,309.50,299.00,305.01,29509
BPW,1476.00,1337.20,1500.80,1337.20,1364.39,4369
C30MF,8.60,8.53,8.60,8.53,8.7,1860
CBBL,909.00,912.00,930.00,907.10,907.0,15690
CBLD88,975.00,976.00,976.00,975.00,975.98,208
CCBD88,981.20,981.20,981.20,981.20,975.35,25
CFCL,337.00,345.00,353.40,334.20,339.99,10477
CGH,957.00,980.00,984.90,954.00,980.13,16228
CHCL,486.00,493.00,502.50,486.00,499.59,57023
CHDC,1045.00,969.00,1045.00,956.50,950.0,75525
CHL,251.90,249.00,253.00,244.40,252.99,11156
CIT,2193.00,2190.00,2230.00,2190.00,2189.93,21329
CITY,708.00,696.90,719.00,691.00,696.92,27342
CKHL,483.10,447.90,483.10,447.90,439.18,4780
CLI,529.00,542.00,550.80,528.00,544.01,118403
CMF1,8.46,8.11,8.46,8.11,8.25,5600
CMF2,8.30,8.30,8.30,8.30,8.37,100
CORBL,361.10,355.00,368.20,353.90,360.99,8563
CYCL,1075.00,1134.00,1134.00,1031.00,1133.01,5311
CZBIL,178.90,180.00,180.00,176.10,179.01,33113
DDBL,769.90,757.00,775.00,751.00,756.21,6314
DHPL,170.00,173.40,176.00,170.00,170.0,18185
DLBS,881.00,905.90,910.00,863.10,924.26,5926
DOLTI,290.90,287.00,300.00,287.00,292.51,21133
DORDI,326.40,314.00,326.40,299.00,314.0,55467
EBL,512.00,509.00,518.00,509.00,510.01,21421
EBLD85,999.50,1010.00,1010.00,999.50,1000.0,80
EDBL,337.90,339.00,342.00,334.10,336.99,33902
EHPL,395.00,409.00,416.00,395.00,406.09,10100
ENL,842.00,826.20,869.00,825.00,810.0,11641
FMDBL,608.00,611.00,623.00,608.00,611.67,10218
FOWAD,1114.90,1115.00,1146.00,1100.00,1124.0,5093
GBBL,410.00,414.00,418.90,407.90,405.98,107340
GBBLPO,206.00,206.00,206.00,206.00,206.0,55000
GBIME,207.00,206.10,207.90,202.90,206.09,107722
GBLBS,556.00,549.70,583.20,549.70,539.02,14716
GCIL,515.00,512.40,532.40,512.00,502.59,146424
GFCL,427.80,443.00,444.00,427.70,436.0,11050
GHL,157.00,167.20,167.20,157.00,164.0,76789
GIBF1,8.25,8.35,8.50,8.25,8.52,5960
GILB,844.00,861.00,878.50,820.10,844.51,2883
GLBSL,700.00,677.00,717.00,677.00,676.98,550
GLH,234.30,237.40,246.80,233.50,241.1,10009
GMFBS,703.00,741.00,741.00,695.00,739.61,208
GMFIL,358.00,371.00,371.00,356.80,364.01,11178
GRDBL,324.00,329.90,335.00,324.00,323.51,4952
GUFL,548.00,536.00,557.00,536.00,545.0,32321
GVL,418.50,415.50,432.00,415.50,421.28,56452
GWFD83,1095.00,1095.00,1095.00,1095.00,1089.99,310
HATHY,876.00,812.30,876.00,800.00,796.44,199351
HBL,210.00,209.50,212.00,209.00,209.6,65494
HBLPO,300.00,300.00,300.00,300.00,300.0,1000
HDHPC,144.00,143.00,146.70,139.90,142.6,381860
HDL,1762.00,1759.90,1805.00,1750.00,1725.42,51914
HEI,654.00,653.00,679.00,645.00,644.53,107350
HEIP,405.00,391.90,408.00,377.60,399.8,77516
HHL,387.00,345.00,387.00,331.00,352.01,57854
HIDCL,183.00,186.00,189.90,182.30,183.2,109322
HIDCLP,105.00,108.00,109.20,105.00,106.81,126232
HLBSL,575.00,593.60,628.00,575.00,581.98,6467
HLI,438.00,444.00,451.50,438.00,443.01,89932
HPPL,230.00,234.00,242.50,229.40,232.0,16758
HURJA,250.00,256.00,257.00,250.00,251.79,28557
ICFC,476.00,493.60,502.90,475.00,483.99,10289
